Word,Frequency
room,1182
access,1152
kitchen,951
guests,711
living,593
use,590
house,578
private,540
bathroom,479
entire,465
space,452
shared,394
laundry,379
home,369
full,362
bedroom,358
backyard,330
parking,323
front,316
area,315
